epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,172.688,0.81107,0.58482,1.05863,0.84873,0.94625,0.95788,0.65489,0.97749,0.63998,1.10212,5e-05,5e-05,5e-05
2,350.996,0.80567,0.58208,1.06079,0.85637,0.94532,0.95604,0.65075,0.97599,0.64016,1.09891,4.7e-05,4.7e-05,4.7e-05
3,526.585,0.80041,0.57596,1.05653,0.85155,0.94437,0.95602,0.65534,0.97855,0.63727,1.10288,4.4e-05,4.4e-05,4.4e-05
4,706.851,0.80411,0.58082,1.05717,0.84826,0.9453,0.95548,0.66018,0.97992,0.64651,1.10365,4.1e-05,4.1e-05,4.1e-05
5,883.778,0.80235,0.57265,1.0528,0.85632,0.94459,0.96046,0.6634,0.97356,0.63494,1.09953,3.8e-05,3.8e-05,3.8e-05
6,1066.54,0.73797,0.49753,1.02941,0.8537,0.93571,0.95816,0.6541,0.98123,0.64062,1.102,3.5e-05,3.5e-05,3.5e-05
7,1244.05,0.73675,0.489,1.02806,0.85304,0.93407,0.956,0.65218,0.98148,0.64493,1.10452,3.2e-05,3.2e-05,3.2e-05
8,1418.23,0.73627,0.4847,1.0344,0.86242,0.92538,0.95994,0.65707,0.98441,0.63728,1.10691,2.9e-05,2.9e-05,2.9e-05
9,1596.09,0.73577,0.48735,1.02873,0.86514,0.92634,0.95836,0.65659,0.97769,0.63994,1.10297,2.6e-05,2.6e-05,2.6e-05
10,1771.02,0.73526,0.48849,1.02991,0.84539,0.933,0.95412,0.65187,0.97304,0.64953,1.09971,2.3e-05,2.3e-05,2.3e-05
11,1944.07,0.73508,0.49012,1.03011,0.84562,0.93691,0.9566,0.65517,0.97806,0.64184,1.10416,2e-05,2e-05,2e-05
12,2119.92,0.73192,0.48692,1.02584,0.84527,0.93652,0.95587,0.65402,0.97721,0.64106,1.10431,1.7e-05,1.7e-05,1.7e-05
13,2290.27,0.73075,0.4822,1.02683,0.85813,0.92998,0.95709,0.65648,0.98214,0.63749,1.10667,1.4e-05,1.4e-05,1.4e-05
14,2472.3,0.7236,0.48379,1.01985,0.8511,0.93699,0.9592,0.65707,0.97956,0.63702,1.10388,1.1e-05,1.1e-05,1.1e-05
15,2651.21,0.73104,0.47676,1.0269,0.84769,0.93768,0.95364,0.65429,0.97891,0.63707,1.10219,8e-06,8e-06,8e-06
