epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,176.401,0.81492,0.58763,1.05973,0.85366,0.94825,0.95921,0.65693,0.98077,0.64185,1.10546,0.0001,0.0001,0.0001
2,358.713,0.8096,0.58491,1.0623,0.87223,0.9466,0.96207,0.6577,0.98057,0.63823,1.10238,9.4e-05,9.4e-05,9.4e-05
3,529.709,0.80664,0.57986,1.05846,0.84376,0.9351,0.95691,0.65709,0.98036,0.63753,1.10306,8.8e-05,8.8e-05,8.8e-05
4,713.486,0.81053,0.58357,1.05967,0.85065,0.93956,0.95686,0.65948,0.97744,0.65708,1.10273,8.2e-05,8.2e-05,8.2e-05
5,894.177,0.80523,0.57424,1.05413,0.85629,0.94475,0.96072,0.66472,0.97665,0.63551,1.0991,7.6e-05,7.6e-05,7.6e-05
6,1071.72,0.74679,0.49978,1.03327,0.85363,0.93996,0.95604,0.65529,0.98637,0.64518,1.1079,7e-05,7e-05,7e-05
7,1222.94,0.74087,0.49133,1.03004,0.86087,0.92385,0.95797,0.65199,0.98452,0.64734,1.10722,6.4e-05,6.4e-05,6.4e-05
8,1402.55,0.74059,0.48828,1.03678,0.85659,0.9382,0.958,0.65963,0.9793,0.64585,1.1046,5.8e-05,5.8e-05,5.8e-05
9,1580.56,0.73783,0.4934,1.02984,0.85094,0.9365,0.95766,0.66142,0.97028,0.64856,1.1,5.2e-05,5.2e-05,5.2e-05
10,1762.39,0.73724,0.49191,1.03091,0.84532,0.93618,0.9551,0.65945,0.97103,0.64642,1.10134,4.6e-05,4.6e-05,4.6e-05
11,1941.33,0.73701,0.48962,1.03215,0.86253,0.92524,0.95723,0.66034,0.97611,0.6358,1.10428,4e-05,4e-05,4e-05
12,2122.1,0.73196,0.48721,1.02697,0.84921,0.93262,0.95745,0.66123,0.97291,0.63979,1.1032,3.4e-05,3.4e-05,3.4e-05
13,2302.07,0.72982,0.48119,1.02787,0.8581,0.92947,0.95525,0.66161,0.98094,0.63391,1.10725,2.8e-05,2.8e-05,2.8e-05
14,2482.65,0.72459,0.48089,1.02083,0.8395,0.937,0.95533,0.65858,0.97983,0.6328,1.10617,2.2e-05,2.2e-05,2.2e-05
15,2663.72,0.72837,0.47632,1.0267,0.85851,0.92323,0.95352,0.66217,0.97906,0.63719,1.10544,1.6e-05,1.6e-05,1.6e-05
