epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,498.173,0.75799,0.49935,1.0425,0.87193,0.9277,0.95644,0.65218,0.98805,0.63853,1.10982,1e-05,1e-05,1e-05
2,1002.55,0.76199,0.50022,1.04604,0.87375,0.92505,0.95956,0.65397,0.98727,0.63754,1.10984,9.2e-06,9.2e-06,9.2e-06
3,1515.87,0.75599,0.4969,1.03886,0.87124,0.93059,0.95921,0.65312,0.98653,0.63736,1.10594,8.4e-06,8.4e-06,8.4e-06
4,2028.35,0.76131,0.50062,1.04507,0.87309,0.92736,0.956,0.64916,0.9841,0.63669,1.10632,7.6e-06,7.6e-06,7.6e-06
5,2503.35,0.75797,0.49532,1.0413,0.87356,0.9251,0.9581,0.65149,0.98324,0.63705,1.10504,6.8e-06,6.8e-06,6.8e-06
6,3024.33,0.75479,0.49681,1.04548,0.87761,0.92292,0.95767,0.6539,0.98464,0.63871,1.10625,6e-06,6e-06,6e-06
7,3537.83,0.75015,0.49872,1.03944,0.87048,0.92763,0.95907,0.65024,0.98419,0.63938,1.10499,5.2e-06,5.2e-06,5.2e-06
8,4051.44,0.75258,0.49831,1.04113,0.86598,0.93209,0.95483,0.64996,0.98174,0.6417,1.105,4.4e-06,4.4e-06,4.4e-06
9,4584.75,0.75267,0.50075,1.03851,0.86432,0.93241,0.95444,0.65133,0.98516,0.64176,1.10675,3.6e-06,3.6e-06,3.6e-06
10,5060.19,0.75675,0.49716,1.03937,0.87271,0.92266,0.95459,0.6533,0.9824,0.6421,1.10498,2.8e-06,2.8e-06,2.8e-06
