epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,448.912,0.75942,0.50022,1.04346,0.87762,0.92259,0.95917,0.6513,0.98419,0.63986,1.10691,3e-05,3e-05,3e-05
2,767.916,0.76201,0.50119,1.04455,0.85937,0.9389,0.95979,0.65246,0.98697,0.63786,1.10765,2.76e-05,2.76e-05,2.76e-05
3,1091.04,0.75719,0.4966,1.03918,0.86288,0.9337,0.95803,0.65169,0.98461,0.63665,1.10416,2.52e-05,2.52e-05,2.52e-05
4,1391.96,0.76068,0.4997,1.04427,0.87386,0.93003,0.95866,0.65519,0.98084,0.63858,1.10518,2.28e-05,2.28e-05,2.28e-05
5,1711.89,0.75672,0.49456,1.04163,0.87963,0.92731,0.95882,0.65267,0.9813,0.6376,1.10244,2.04e-05,2.04e-05,2.04e-05
6,2025.81,0.7532,0.49688,1.04481,0.86358,0.93725,0.95901,0.65322,0.98136,0.64492,1.1046,1.8e-05,1.8e-05,1.8e-05
7,2342.88,0.7484,0.49866,1.03869,0.86075,0.93909,0.95757,0.65492,0.98199,0.64003,1.10565,1.56e-05,1.56e-05,1.56e-05
8,2655.34,0.75122,0.49707,1.04053,0.85893,0.93726,0.95653,0.65166,0.98013,0.6412,1.1055,1.32e-05,1.32e-05,1.32e-05
9,2964.66,0.75025,0.50052,1.03776,0.87099,0.93337,0.9591,0.65652,0.98321,0.64487,1.10882,1.08e-05,1.08e-05,1.08e-05
10,3265.03,0.75415,0.49575,1.03793,0.864,0.93764,0.9602,0.65273,0.97951,0.64122,1.10548,8.4e-06,8.4e-06,8.4e-06
