epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,128.17,0.81685,0.5873,1.06156,0.881,0.93929,0.95852,0.65134,0.98378,0.63671,1.1039,1e-05,1e-05,1e-05
2,263.616,0.80962,0.5846,1.06341,0.87125,0.94382,0.95778,0.6507,0.98093,0.63964,1.10259,1e-05,1e-05,1e-05
3,399.566,0.80305,0.57966,1.05843,0.85874,0.94747,0.95958,0.65112,0.97944,0.63905,1.10136,1e-05,1e-05,1e-05
4,524.001,0.80587,0.58393,1.05883,0.86966,0.94412,0.95926,0.6505,0.97667,0.63859,1.09871,1e-05,1e-05,1e-05
5,655.048,0.80479,0.57497,1.05513,0.87483,0.94478,0.96101,0.65096,0.97705,0.63607,1.09972,1e-05,1e-05,1e-05
