scope,class,metric,FP32 OpenVINO,PTQ INT8,QAT INT8,absolute_delta,relative_delta_percent
overall,all,precision,0.9362229266091132,0.9341156433830985,0.8873350308389872,-0.0021072832260147223,-0.22508348878477574
overall,all,recall,0.9575635054125157,0.9502079198462958,0.935880790443194,-0.007355585566219847,-0.7681564224872042
overall,all,mAP50,0.9729727505332173,0.972145259145894,0.9612869853027908,-0.0008274913873232981,-0.08504774536283866
overall,all,mAP50-95,0.7713443557065539,0.76717861970828,0.6510423230161192,-0.004165735998273856,-0.5400617723400631
overall,all,F1,0.9467729753395424,0.9420930669398871,0.9109616100912491,-0.004679908399655264,-0.4943010121277387
per_class,ball,precision,0.9513313588468273,0.9429988054250686,0.9201680751226705,-0.008332553421758648,-0.875883396912207
per_class,ball,recall,1.0,1.0,0.9945054945054945,0.0,0.0
per_class,ball,mAP50,0.9891498836247521,0.9891912354909903,0.9828127131604218,4.1351866238215074e-05,0.004180546034811291
per_class,ball,mAP50-95,0.8835262349009444,0.8795534960892626,0.7065040004341971,-0.0039727388116818085,-0.4496458231517265
per_class,ball,F1,0.9750587510765295,0.9706632889244308,0.9558937054275605,-0.004395462152098739,-0.45078946753165977
per_class,gawang,precision,0.8913343741279842,0.8987761987245911,0.9025349339490865,0.007441824596606916,0.8349082917269345
per_class,gawang,recall,0.8998091603053435,0.881132234115159,0.8570883198455932,-0.018676926190184573,-2.0756541513587945
per_class,gawang,mAP50,0.9479321857276101,0.9458072365953298,0.9381318728166403,-0.0021249491322802294,-0.224166787906792
per_class,gawang,mAP50-95,0.5983499223995888,0.5970267721499483,0.5515272893796248,-0.0013231502496405811,-0.2211331864695986
per_class,gawang,F1,0.8955517180136349,0.8898667654360505,0.8792247414009651,-0.00568495257758439,-0.6347989137013565
per_class,robot,precision,0.9660030468525281,0.9605719259996356,0.8393020834452047,-0.005431120852892546,-0.5622260582498629
per_class,robot,recall,0.9728813559322034,0.9694915254237289,0.9560485569784944,-0.003389830508474523,-0.3484320557491234
per_class,robot,mAP50,0.9818361822472894,0.9814373053513619,0.9629163699313101,-0.0003988768959275468,-0.040625605690612444
per_class,robot,mAP50-95,0.8321569098191285,0.8249555908856289,0.6950956792345357,-0.007201318933499623,-0.8653799359864535
per_class,robot,F1,0.969430000784705,0.9650111151836117,0.8938794770000626,-0.00441888560109327,-0.455823071033123
overall,all,Latency,20.174743020285142,11.989281284764887,13.946799748720752,,
overall,all,FPS,49.56692627978101,83.40783540300517,71.70103665478695,,
overall,all,CPU utilization,NOT MEASURED — requires controlled ROBOTIS OP3 benchmark,NOT MEASURED — requires controlled ROBOTIS OP3 benchmark,NOT MEASURED — requires controlled ROBOTIS OP3 benchmark,,
overall,all,RAM,NOT MEASURED — requires controlled ROBOTIS OP3 benchmark,NOT MEASURED — requires controlled ROBOTIS OP3 benchmark,NOT MEASURED — requires controlled ROBOTIS OP3 benchmark,,
overall,all,Ukuran model,10756936,3407480,3483079,,
